camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
NVA-T2-C2-1250;Arapixi;não;U;-7567879.14;-994548.231;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T2-C3-1950;Arapixi;não;U;-7568467.35;-994048.011;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T2-C4-3250;Arapixi;não;U;-7568666.39;-992354.6;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T2-C5-4000;Arapixi;não;U;-7568856.86;-991678.747;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
NVA-T3-C1-2390;Arapixi;não;Nova Amélia;-7560016.19;-998192.844;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T3-C2-3050;Arapixi;não;Nova Amélia;-7559924.46;-999188.467;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T3-C3-3750;Arapixi;não;Nova Amélia;-7559457.93;-999696.597;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T3-C4-4900;Arapixi;não;Nova Amélia;-7558770.97;-1000656.98;Purus varzeá;PV;Amazon River and Flooded Forests;32
NVA-T3-C5-5800;Arapixi;não;Nova Amélia;-7558320.57;-1001397.15;Purus varzeá;PV;Amazon River and Flooded Forests;32
PER-T1-C1-1080;Riozinho_Liberdade;não;Periquito;-8023289.84;-895024.669;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T1-C2-1550;Riozinho_Liberdade;não;Periquito;-8023784.1;-894757.831;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T1-C3-2770;Riozinho_Liberdade;não;Periquito;-8024879.15;-894135.035;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T1-C4-4000;Riozinho_Liberdade;não;Periquito;-8025983.45;-893645.822;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T1-C5-5850;Riozinho_Liberdade;não;Periquito;-8027732.05;-892919.614;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T2-C1-550;Riozinho_Liberdade;não;Periquito;-8021718.13;-895301.675;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T2-C2-1550;Riozinho_Liberdade;não;Periquito;-8021077.14;-896081.755;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T2-C3-2460;Riozinho_Liberdade;não;Periquito;-8020435.28;-896877.709;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T2-C4-4090;Riozinho_Liberdade;não;Periquito;-8018920.66;-897501.78;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T2-C5-5670;Riozinho_Liberdade;não;Periquito;-8017749.81;-898601.817;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T3-C1-400;Riozinho_Liberdade;não;Periquito;-8021171.1;-894453.247;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T3-C2-1520;Riozinho_Liberdade;não;Periquito;-8020672.28;-894982.221;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T3-C3-2580;Riozinho_Liberdade;não;Periquito;-8019649.81;-895324.566;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T3-C4-3880;Riozinho_Liberdade;não;Periquito;-8018323.55;-895622.798;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T3-C5-5670;Riozinho_Liberdade;não;Periquito;-8016697.95;-895688.914;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T4-C1-1350;Riozinho_Liberdade;não;Periquito;-8023440.35;-895571.531;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T4-C2-2070;Riozinho_Liberdade;não;Periquito;-8024164.48;-895729.125;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T4-C3-2830;Riozinho_Liberdade;não;Periquito;-8024877.7;-896009.825;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T4-C4-4000;Riozinho_Liberdade;não;Periquito;-8026127.49;-895906.166;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
PER-T4-C5-6000;Riozinho_Liberdade;não;Periquito;-8028255.36;-895643.348;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
POR-T1-C1-500;Médio Purus;não;Porongaba;-7382081.56;-843632.775;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T1-C2-1000;Médio Purus;não;Porongaba;-7381691.27;-844023.159;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T1-C3-1980;Médio Purus;não;Porongaba;-7381345.4;-845021.715;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T1-C4-3250;Médio Purus;não;Porongaba;-7380664.68;-846151.96;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T1-C5-4500;Médio Purus;não;Porongaba;-7380210.06;-847368.817;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T2-C1-2400;Médio Purus;não;Porongaba;-7380865.4;-845193.323;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T2-C2-3000;Médio Purus;não;Porongaba;-7380204.83;-845262.377;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T2-C3-3800;Médio Purus;não;Porongaba;-7379373.72;-845608.933;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T2-C4-4100;Médio Purus;não;Porongaba;-7378947.36;-845443.244;Purus varzeá;PV;Amazon River and Flooded Forests;32
POR-T2-C5-3300;Médio Purus;não;Porongaba;-7379701.77;-845182.269;Purus varzeá;PV;Amazon River and Flooded Forests;32
RED-T1-C1-750;Cazumbá-iracema;não;Redenção;-7685191.62;-1040783.81;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
