Camera.Trap.Name,data.hora.correta,Photo.time,bin
2011,6/9/13 18:25,18:25:08,Myrmecophaga tridactyla
2011,6/19/13 09:20,09:20:20,Panthera onca
2011,6/19/13 09:20,09:20:20,Panthera onca
2011,6/19/13 09:20,09:20:21,Panthera onca
2011,6/24/13 10:49,10:49:42,Psophia leucoptera
2011,6/24/13 10:49,10:49:43,Psophia leucoptera
2011,6/24/13 10:49,10:49:44,Psophia leucoptera
2011,6/24/13 10:49,10:49:54,Psophia leucoptera
2011,6/24/13 10:49,10:49:55,Psophia leucoptera
2011,6/24/13 10:49,10:49:56,Psophia leucoptera
2011,6/24/13 10:50,10:50:18,Psophia leucoptera
2011,6/24/13 10:50,10:50:19,Psophia leucoptera
2011,6/24/13 10:50,10:50:20,Psophia leucoptera
2011,7/5/13 07:33,07:33:55,Psophia leucoptera
2011,7/5/13 07:33,07:33:56,Psophia leucoptera
2011,7/5/13 07:33,07:33:57,Psophia leucoptera
2021,6/12/13 20:09,20:09:15,Cuniculus paca
2021,6/12/13 20:09,20:09:16,Cuniculus paca
2021,6/12/13 20:09,20:09:17,Cuniculus paca
2021,6/12/13 20:09,20:09:23,Cuniculus paca
2021,7/2/13 01:13,01:13:39,Cuniculus paca
2021,7/2/13 01:13,01:13:40,Cuniculus paca
2021,7/2/13 01:13,01:13:41,Cuniculus paca
2021,7/2/13 01:13,01:13:44,Cuniculus paca
2021,7/2/13 01:13,01:13:45,Cuniculus paca
2021,7/2/13 01:13,01:13:46,Cuniculus paca
2021,7/2/13 01:13,01:13:54,Cuniculus paca
2021,7/2/13 01:13,01:13:55,Cuniculus paca
2021,7/2/13 01:13,01:13:55,Cuniculus paca
2021,6/19/13 16:33,16:33:22,Dasyprocta fuliginosa
2021,6/19/13 16:33,16:33:23,Dasyprocta fuliginosa
2021,6/19/13 16:33,16:33:24,Dasyprocta fuliginosa
2021,6/19/13 16:33,16:33:38,Dasyprocta fuliginosa
2021,6/19/13 16:33,16:33:39,Dasyprocta fuliginosa
2021,6/19/13 16:33,16:33:40,Dasyprocta fuliginosa
2021,7/5/13 02:49,02:49:25,Dasyspus spp
2021,7/5/13 02:49,02:49:26,Dasyspus spp
2021,7/5/13 02:49,02:49:27,Dasyspus spp
2021,7/8/13 23:44,23:44:11,Leopardus pardalis
2021,7/8/13 23:44,23:44:11,Leopardus pardalis
2021,7/8/13 23:44,23:44:12,Leopardus pardalis
2021,7/8/13 23:44,23:44:38,Leopardus pardalis
2021,7/8/13 23:44,23:44:38,Leopardus pardalis
2021,7/8/13 23:44,23:44:39,Leopardus pardalis
2021,7/10/13 07:46,07:46:01,Leopardus pardalis
2021,7/10/13 07:46,07:46:02,Leopardus pardalis
2021,7/10/13 07:46,07:46:02,Leopardus pardalis
2021,7/10/13 07:46,07:46:06,Leopardus pardalis
2021,7/10/13 07:46,07:46:07,Leopardus pardalis
2021,7/10/13 07:46,07:46:07,Leopardus pardalis
2021,7/3/13 09:11,09:11:57,Psophia leucoptera
2021,7/3/13 09:11,09:11:57,Psophia leucoptera
2021,7/3/13 09:11,09:11:58,Psophia leucoptera
2021,6/15/13 10:39,10:39:02,Puma yagouaroundi
