Camera.Trap.Name;Instalacao.1;Retirada.1;;;;;
7031;11/07/2014 17:06;08/08/2014 14:51;;;;;
7032;11/07/2014 16:43;08/08/2014 14:35;;;;;
7033;11/07/2014 16:15;08/08/2014 14:17;;;;;
7034;11/07/2014 15:12;08/08/2014 13:34;;;;;
7035;11/07/2014 13:18;08/08/2014 12:10;;;;;
7041;12/07/2014 16:30;09/08/2014 12:32;;;;;
7042;12/07/2014 16:10;09/08/2014 12:21;;;;;
7045;12/07/2014 13:12;09/08/2014 10:08;;;;;
7051;13/07/2014 15:38;10/08/2014 12:10;;;;;
7052;13/07/2014 15:21;10/08/2014 12:02;;;;;
7053;13/07/2014 14:38;10/08/2014 11:31;;;;;
7054;13/07/2014 13:50;10/08/2014 10:47;;;;;
7061;14/07/2014 15:32;11/08/2014 11:14;;;;;
7062;14/07/2014 15:12;11/08/2014 10:55;;;;;
7063;14/07/2014 14:44;11/08/2014 10:35;;;;;
7064;14/07/2014 13:16;11/08/2014 09:42;;;;;
7071;15/07/2014 15:50;12/08/2014 12:31;;;;;
7072;15/07/2014 15:25;12/08/2014 12:18;;;;;
7073;15/07/2014 15:01;12/08/2014 11:59;;;;;
7074;15/07/2014 14:05;19/07/2014 06:00;;;;;
7075;15/07/2014 12:35;12/08/2014 09:52;;;;;
7081;16/07/2014 13:17;15/08/2014 13:00;;;;;
7082;16/07/2014 12:56;15/08/2014 12:52;;;;;
7083;16/07/2014 12:31;15/08/2014 12:32;;;;;
7084;16/07/2014 11:45;15/08/2014 11:41;;;;;
7085;16/07/2014 10:18;15/08/2014 10:32;;;;;
7091;17/07/2014 15:05;16/08/2014 13:46;;;;;
7093;17/07/2014 14:22;16/08/2014 13:24;;;;;
7094;17/07/2014 13:35;16/08/2014 12:43;;;;;
7095;17/07/2014 11:47;16/08/2014 11:16;;;;;
7101;18/07/2014 16:45;23/07/2014 07:40;;;;;
7102;18/07/2014 16:25;22/07/2014 10:20;;;;;
7103;18/07/2014 15:53;18/08/2014 13:04;;;;;
7104;18/07/2014 15:04;18/08/2014 12:24;;;;;
7105;18/07/2014 13:13;18/08/2014 10:51;;;;;
7111;19/07/2014 17:04;19/08/2014 15:04;;;;;
7112;19/07/2014 16:48;19/08/2014 14:54;;;;;
7113;19/07/2014 16:14;19/08/2014 14:31;;;;;
7114;19/07/2014 14:44;19/08/2014 13:07;;;;;
7115;19/07/2014 13:10;19/08/2014 11:45;;;;;
8011;29/08/2014 14:35;28/09/2014 14:30;;;;;
8012;29/08/2014 14:18;28/09/2014 14:16;;;;;
8013;29/08/2014 13:50;28/09/2014 13:58;;;;;
8014;29/08/2014 12:49;28/09/2014 13:06;;;;;
8015;29/08/2014 10:43;28/09/2014 11:33;;;;;
8021;30/08/2014 17:05;29/09/2014 14:58;;;;;
8022;30/08/2014 16:52;29/09/2014 14:49;;;;;
8023;30/08/2014 16:29;29/09/2014 14:17;;;;;
8024;30/08/2014 15:35;29/09/2014 13:29;;;;;
8025;30/08/2014 14:15;29/09/2014 11:31;;;;;
8031;31/08/2014 15:55;30/09/2014 13:39;;;;;
8032;31/08/2014 15:34;30/09/2014 13:24;;;;;
8033;31/08/2014 15:09;30/09/2014 12:44;;;;;
8034;31/08/2014 13:49;30/09/2014 11:43;;;;;
8035;31/08/2014 12:18;30/09/2014 10:02;;;;;
8041;01/09/2014 13:46;01/10/2014 11:55;;;;;
8042;01/09/2014 13:25;01/10/2014 11:38;;;;;
8043;01/09/2014 12:55;01/10/2014 11:10;;;;;
8044;01/09/2014 11:57;01/10/2014 10:12;;;;;
8045;01/09/2014 10:57;01/10/2014 09:07;;;;;
8051;02/09/2014 17:28;02/10/2014 13:57;;;;;
8052;02/09/2014 17:03;02/10/2014 13:41;;;;;
