Name;RESEX;Entorno;Comunidade;Comunidade_T;Camera;Patrimôni;SD;Dist_comun;Altura;Instalacao;Retirada;N_fotos;Bat_in;Bat_fim;Instalador;Observaça;Vegetacao;Modelo;Transeccao;Cadeado;Problemas;Problem1_from;Problem1_to;distancia_RESEX;Distância_hidrografia;Distância_comunidade;Residências_500m;Residências_2.5km;Residências_5km;Residências_10km;Somatória_densidade;Distância_acesso_cidade
CAZ-T2-C3-2700;RCI;Não;Cazumbá;Cazumbá;3;B171015262;CENAP78;2700;45;31/05/2018;27/07/2018;129;100;100;RS, Dimá;Próximo estrada, esquerda, castanheira;MP;E3;T2;;;;;6597.9;710.6;2461.7;0;14;70;218;0.319;1771.5
CAZ-T2-C4-4060;RCI;Não;Cazumbá;Cazumbá;4;B160313839;RS04;4060;45;31/05/2018;27/07/2018;192;100;100;RS, Dimá;pega trilha para direita;MP;HD;T2;;;;;7194.6;282.7;3835.4;0;1;55;210;0.319;2628.7
CAZ-T2-C5-6500;RCI;Não;Cazumbá;Cazumbá;5;B171014817;CENAP15;6500;35;31/05/2018;27/07/2018;630;100;66;RS, Dimá;pique, para direita;MP;E3;T2;;;;;8077.4;605.0;6370.2;0;0;4;173;0.319;2568.0
CAZ-T3-C1-1500;RCI;Não;Cazumbá;Cazumbá;1;B160530750;RCI19;1500;50;01/06/2018;28/07/2018;567;100;100;RS, Dimá;Pique do 1km monitoramento, pé castanhei;MP;E2;T3;;;;;5681.5;268.5;1150.3;0;47;94;253;0.319;1012.7
CAZ-T3-C2-2100;RCI;Não;Cazumbá;Cazumbá;2;B171015025;CENAP70;2100;50;01/06/2018;28/07/2018;87;100;100;RS, Dimá;estrada para direita, ramal para direita;MP;E3;T3;;;;;5218.0;552.2;1717.3;0;44;96;254;0.319;1606.0
CAZ-T3-C3-3050;RCI;Não;Cazumbá;Cazumbá;3;B160712347;RCI44;3050;45;01/06/2018;28/07/2018;165;100;100;RS, Dimá;estrada para esquerda, 20 metros, tucuma;MP;E2;T3;;;;;5000.4;462.2;2692.7;1;2;83;234;0.319;2532.4
CAZ-T3-C4-4700;RCI;Não;Cazumbá;Cazumbá;4;B171015205;CENAP17;4700;35;01/06/2018;28/07/2018;;100;;RS, Dimá;;MP-Tab;E3;T3;;;;;4088.2;584.5;4363.3;0;3;79;244;0.319;4202.8
CUI-T1-C1-500;RCI;Não;Cuidado;Cuidado_T1;1;B171014766;CENAP02;500;25;03/06/2018;04/08/2018;480;100;66;RS, Dimá, Jucá;Travessão/carreador;MP;E3;T1;;;;;9326.1;170.1;501.3;3;27;53;133;0.319;93.8
CUI-T1-C2-950;RCI;Não;Cuidado;Cuidado_T1;2;B171014800;CENAP13;950;45;03/06/2018;04/08/2018;135;100;;RS, Dimá, Jucá;Carreador, pega trilha, rastro veado, por;MP;E3;T1;;Camera quebrou. Esta câmera foi configurada errada;22/06/2018;04/08/2018;9670.2;114.3;963.1;0;26;49;135;0.319;513.5
CUI-T1-C3-1500;RCI;Não;Cuidado;Cuidado_T1;3;B160615333;RCI34;1500;30;03/06/2018;04/08/2018;1104;100;66;RS, Dimá, Jucá;Próximo igarapé;MP-Tab;E2;T1;;;;;10114.5;614.0;1516.6;0;18;46;133;0.319;1086.9
CUI-T1-C4-2670;RCI;Não;Cuidado;Cuidado_T1;4;B171014798;CENAP14;2670;50;03/06/2018;04/08/2018;1391;100;66;RS, Dimá, Jucá;Próximo igarapé, rastro catitu;MP;E3;T1;;;;;10520.8;353.7;2335.2;0;6;44;138;0.319;544.1
CUI-T1-C5-4100;RCI;Não;Cuidado;Cuidado_T1;5;B171014757;CENAP04;4100;50;03/06/2018;04/08/2018;264;100;100;RS, Dimá, Jucá;Perto de uma vareda;MP;E3;T1;;Camera desconfigurou na instalac, parou 06-07-2018;06/07/2018;04/08/2018;11069.8;258.3;3787.3;0;0;34;134;0.319;378.9
CUI-T2-C1-900;RCI;Não;Cuidado;Cuidado_T2;1;B160712529;RCI42;900;30;04/06/2018;05/08/2018;1152;100;66;RS, Dimá, NegoMadá;Próximo a um iagarapé pequeno;MP-Tab;E2;T2;;;;;10064.3;34.0;723.9;0;31;47;137;0.319;3.9
CUI-T2-C1.2-2700;RCI;Não;Cuidado;Cuidado_T2;12;B171015304;CENAP80;2700;50;04/06/2018;05/08/2018;18;100;100;RS, Dimá, NegoMadá;Varadouro onça para direita;MP;E3;T2;;Cartão bloqueado;04/06/2018;05/08/2018;11909.8;114.3;1546.1;0;18;42;122;0.319;1441.1
CUI-T2-C2-3500;RCI;Não;Cuidado;Cuidado_T2;2;B17101524;CENAP53;3500;40;04/06/2018;05/08/2018;450;100;66;RS, Dimá, NegoMadá;Varador palestina, pega esquerda, prx iga;MP;E3;T2;;Esta camera foi mudada de lugar;03/08/2018;05/08/2018;12725.8;297.3;2555.2;1;5;37;85;0.319;2462.7
