Camera.Trap.Name;data.hora.correta;Photo.time;bin;;;
1051;17/05/2013 13:55;13:55:18;Dasyprocta fuliginosa;;;
1051;17/05/2013 13:55;13:55:19;Dasyprocta fuliginosa;;;
1051;17/05/2013 13:55;13:55:25;Dasyprocta fuliginosa;;;
1051;17/05/2013 13:55;13:55:25;Dasyprocta fuliginosa;;;
1051;17/05/2013 13:55;13:55:26;Dasyprocta fuliginosa;;;
1051;23/05/2013 16:18;16:18:12;Dasyprocta fuliginosa;;;
1051;23/05/2013 16:18;16:18:13;Dasyprocta fuliginosa;;;
1051;23/05/2013 16:18;16:18:14;Dasyprocta fuliginosa;;;
1051;25/05/2013 15:17;15:17:24;Dasyprocta fuliginosa;;;
1051;25/05/2013 15:17;15:17:25;Dasyprocta fuliginosa;;;
1051;25/05/2013 15:17;15:17:26;Dasyprocta fuliginosa;;;
1051;08/05/2013 00:43;00:43:29;Dasyspus spp;;;
1051;08/05/2013 00:43;00:43:30;Dasyspus spp;;;
1051;08/05/2013 00:43;00:43:31;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:34;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:35;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:36;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:54;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:55;Dasyspus spp;;;
1051;04/06/2013 01:16;01:16:56;Dasyspus spp;;;
1051;15/05/2013 07:54;07:54:13;Mazama americana;;;
1051;15/05/2013 07:54;07:54:13;Mazama americana;;;
1051;15/05/2013 07:54;07:54:14;Mazama americana;;;
1051;15/05/2013 07:54;07:54:25;Mazama americana;;;
1051;15/05/2013 07:54;07:54:26;Mazama americana;;;
1051;15/05/2013 07:54;07:54:26;Mazama americana;;;
1051;25/05/2013 11:44;11:44:35;Mazama americana;;;
1051;25/05/2013 11:44;11:44:35;Mazama americana;;;
1051;25/05/2013 11:44;11:44:36;Mazama americana;;;
1051;25/05/2013 11:44;11:44:41;Mazama americana;;;
1051;25/05/2013 11:44;11:44:41;Mazama americana;;;
1051;25/05/2013 11:44;11:44:42;Mazama americana;;;
1051;01/06/2013 17:53;17:53:42;Mazama americana;;;
1051;01/06/2013 17:53;17:53:43;Mazama americana;;;
1051;01/06/2013 17:53;17:53:44;Mazama americana;;;
1051;01/06/2013 17:53;17:53:50;Mazama americana;;;
1051;01/06/2013 17:53;17:53:50;Mazama americana;;;
1051;01/06/2013 17:53;17:53:51;Mazama americana;;;
1051;08/05/2013 03:00;03:00:32;Mazama Sp;;;
1051;08/05/2013 03:00;03:00:32;Mazama Sp;;;
1051;08/05/2013 03:00;03:00:33;Mazama Sp;;;
1051;10/05/2013 06:49;06:49:07;Penelope jacquacu;;;
1051;10/05/2013 06:49;06:49:08;Penelope jacquacu;;;
1051;10/05/2013 06:49;06:49:09;Penelope jacquacu;;;
1051;08/05/2013 00:42;00:42:31;Priodontes maximus;;;
1051;08/05/2013 00:42;00:42:32;Priodontes maximus;;;
1051;08/05/2013 00:42;00:42:33;Priodontes maximus;;;
1051;08/05/2013 00:43;00:43:05;Priodontes maximus;;;
1051;08/05/2013 00:43;00:43:06;Priodontes maximus;;;
1051;08/05/2013 00:43;00:43:07;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:42;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:43;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:44;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:48;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:49;Priodontes maximus;;;
1051;09/05/2013 05:38;05:38:50;Priodontes maximus;;;
1051;13/05/2013 12:10;12:10:43;Hadrosciurus spadiceus;;;
1051;13/05/2013 12:10;12:10:44;Hadrosciurus spadiceus;;;
1051;13/05/2013 12:10;12:10:44;Hadrosciurus spadiceus;;;
1051;16/05/2013 09:25;09:25:18;Hadrosciurus spadiceus;;;
1051;14/05/2013 01:39;01:39:35;Tapirus terrestris;;;
1051;14/05/2013 01:39;01:39:36;Tapirus terrestris;;;
1051;14/05/2013 01:39;01:39:37;Tapirus terrestris;;;
1051;14/05/2013 01:39;01:39:42;Tapirus terrestris;;;
1051;14/05/2013 01:39;01:39:42;Tapirus terrestris;;;
1051;14/05/2013 01:39;01:39:43;Tapirus terrestris;;;
1051;26/05/2013 18:16;18:16:51;Tinamus spp.;;;
1051;26/05/2013 18:16;18:16:51;Tinamus spp.;;;
1051;26/05/2013 18:16;18:16:52;Tinamus spp.;;;
