camera_id;X;Y
CAP-T2-C2-500_2;-7240640;-818369
CAP-T2-C1-620_1;-7240911;-817965
REM-T2-C2-1850;-7317382;-850295
REM-T2-C1-1150;-7317642;-850886
REM-T2-C4-4000;-7316643;-848294
REM-T2-C3-2700;-7316964;-849586
REM-T2-C6-5900;-7315061;-846935
REM-T2-C5-4950;-7315786;-847638
SFO-T1-C2-1000;-7299126;-845253
SFO-T1-C1-500;-7298595;-845298
SFO-T1-C4-3100;-7301208;-844396
SFO-T1-C3-1600;-7299792;-844898
SFO-T1-C6-6000;-7304224;-844487
SFO-T1-C5-4600;-7302767;-844341
BJS-T1-C2-1700;-7308769;-855659
BJS-T1-C1-1000;-7309305;-855102
BJS-T1-C4-3800;-7308550;-857736
BJS-T1-C3-2600;-7308352;-856421
MAL-T2-C3-3700;-7339225;-861921
MAL-T2-C2-3200;-7339370;-861126
MAL-T2-C5-5000;-7339602;-863363
MAL-T2-C4-4500;-7339265;-862940
MAL-T2-C7-6200;-7339908;-864547
MAL-T2-C6-5500;-7339486;-863993
POR-T1-C2-1000;-7381691;-844023
POR-T1-C1-500;-7382082;-843633
POR-T1-C4-3250;-7380665;-846152
POR-T1-C3-1980;-7381345;-845022
REM-T1-C1-950;-7318022;-851029
POR-T1-C5-4500;-7380210;-847369
REM-T1-C3-2300;-7317676;-849653
REM-T1-C2-1500;-7317835;-850443
REM-T1-C5-4500;-7317355;-847492
REM-T1-C4-3750;-7317171;-848279
IUT-T1-C6-4000;-7247363;-823070
IUT-T1-C5-3300;-7247334;-822215
IUT-T1-C8-5300;-7246624;-824051
IUT-T1-C7-4700;-7247241;-823698
LIM-T1-C2-2400;-7423811;-857515
LIM-T1-C1-1800;-7424272;-857202
LIM-T1-C4-3600;-7423068;-858697
LIM-T1-C3-3100;-7423358;-858169
LIM-T1-C6-4900;-7422188;-859534
LIM-T1-C5-4200;-7422658;-858982
MAL-T1-C1-600;-7336188;-859224
LIM-T1-C7-5700;-7421538;-860039
MAL-T1-C4-3000;-7334552;-861128
MAL-T1-C3-1900;-7335035;-859938
MAL-T2-C1-3300;-7339857;-860421
MAL-T1-C5-3800;-7334273;-861983
CAP-T3-C6-4600;-7243621;-820587
CAP-T3-C3-1700;-7242160;-817942
CAP-T3-C2-1000;-7241608;-817498
CAP-T3-C1-300;-7241112;-817029
CAP-T3-C5-3500;-7243228;-819439
CAP-T3-C4-2000;-7241971;-818570
IND-T1-C6-5900;-7242985;-807685
IND-T1-C1-500;-7246659;-812174
IND-T1-C3-1800;-7246064;-810804
IND-T1-C2-1000;-7246435;-811545
IND-T1-C5-4300;-7243726;-809127
IND-T1-C4-3250;-7244412;-809891
IUT-T1-C2-1000;-7248427;-820069
IUT-T1-C1-480;-7248834;-819716
IUT-T1-C4-2800;-7247133;-821199
IUT-T1-C3-1750;-7247847;-820539
MAP-T2-C2-3000;-8018288;-862095
MAP-T2-C1-2500;-8017972;-862519
MAP-T2-C4-4950;-8018680;-860154
MAP-T2-C3-4000;-8018416;-861066
MAP-T2-C5-6200;-8018510;-858831
C1-T2-C3-3140;-8016151;-851210
C1-T2-C2-2240;-8015342;-851721
C1-T2-C4-4400;-8017436;-850748
C1-T2-C1-1600;-8014874;-852123
C1-T1-C2-2000;-8016076;-853185
C1-T1-C1-1400;-8015762;-853684
C1-T1-C4-4345;-8017670;-851440
C1-T1-C3-2950;-8016692;-852465
C1-T1-C5-6005;-8018979;-850238
C2-T3-C5-6000;-8016911;-845519
C2-T3-C4-3850;-8014722;-845719
C2-T3-C1-700;-8011650;-846481
C2-T3-C3-2330;-8013275;-846002
C2-T3-C2-1300;-8012262;-846419
C2-T2-C2-3000;-8008883;-849554
C2-T2-C1-2300;-8009558;-849659
C2-T2-C4-4750;-8007172;-849062
