camera_id;X;Y;NN
CUI-T2-C1-900;-69.0278;-9.15187;1266.706548
CUI-T2-C1.2-2700;-69.0326;-9.16767;1011.829335
CUI-T2-C2-3500;-69.0297;-9.17634;1011.829335
CUI-T2-C3-4600;-69.0301;-9.18602;1070.618282
CUI-T2-C4-6500;-69.0366;-9.2022;538.3549486
CUI-T2-C6-7000;-69.0386;-9.20664;538.3549486
CUI-T3-C1-1460;-69.0356;-9.13907;976.5331384
CUI-T3-C2-2070;-69.0354;-9.13025;976.5331384
CUI-T3-C3-3300;-69.0431;-9.12179;799.3933516
CUI-T3-C4-4100;-69.0494;-9.11817;799.3933516
CUI-T3-C5-5670;-69.0654;-9.11485;1798.14306
GRA-T1-C1-1300;-69.1035;-9.16562;513.6577824
GRA-T1-C2-1800;-69.1044;-9.17018;513.6577824
GRA-T1-C3-2800;-69.1052;-9.17887;965.8371951
GRA-T1-C4-4100;-69.1095;-9.19044;1362.765824
GRA-T1-C5-6000;-69.1083;-9.20743;1883.76236
GRA-T2-C1-2060;-69.1006;-9.13576;799.4558222
GRA-T2-C2-3600;-69.095;-9.12218;889.3500149
GRA-T2-C3-4500;-69.0952;-9.11415;889.3500149
GRA-T2-C4-6000;-69.1051;-9.10055;405.9903996
GRA-T2-C5-1300;-69.1045;-9.14267;462.6712254
GRA-T2-C6-5600;-69.1031;-9.10359;405.9903996
GRA-T3-C1-2100;-69.1078;-9.1357;799.4558222
GRA-T3-C2-980;-69.1064;-9.14643;462.6712254
GRA-T3-C3-3100;-69.1127;-9.12827;982.0178651
GRA-T3-C4-4100;-69.115;-9.11898;224.0927528
GRA-T3-C5-4330;-69.1142;-9.11711;224.0927528
IND-T1-C1-500;-65.0978;-7.32475;661.7391119
IND-T1-C2-1000;-65.0958;-7.31911;661.7391119
IND-T1-C3-1800;-65.0925;-7.31247;821.4988271
IND-T1-C4-3250;-65.0776;-7.30427;1018.369613
IND-T1-C5-4300;-65.0715;-7.29742;1018.369613
IND-T1-C6-5900;-65.0648;-7.28449;1607.398362
IUT-T1-C1-480;-65.1173;-7.39239;534.5092726
IUT-T1-C2-1000;-65.1137;-7.39556;534.5092726
IUT-T1-C3-1750;-65.1085;-7.39977;740.3662346
IUT-T1-C4-2800;-65.1021;-7.40569;964.010863
IUT-T1-C5-3300;-65.1039;-7.4148;847.6253333
IUT-T1-C6-4000;-65.1041;-7.42246;635.0408111
IUT-T1-C7-4700;-65.103;-7.4281;635.0408111
IUT-T1-C8-5300;-65.0975;-7.43126;704.3492258
LAG-T1-C1-800;-67.6398;-8.88021;590.2491772
LAG-T1-C2-1380;-67.6441;-8.88335;590.2491772
LAG-T1-C3-2400;-67.6494;-8.89149;1074.906242
LAG-T1-C4-3550;-67.6523;-8.90277;1284.915718
LAG-T1-C5-5000;-67.6588;-8.91447;1099.082154
LAG-T1-C6-6070;-67.6664;-8.92089;1099.082154
LIM-T1-C1-1800;-66.6933;-7.72842;552.0462914
LIM-T1-C1-770;-72.0724;-7.90296;488.6917084
LIM-T1-C10-5800;-72.1086;-7.93399;681.5234056
LIM-T1-C2-1300;-72.0768;-7.90324;488.6917084
LIM-T1-C2-2400;-66.6892;-7.73122;552.0462914
LIM-T1-C3-1800;-72.0819;-7.90226;570.6679903
LIM-T1-C3-3100;-66.6851;-7.73708;596.1431232
LIM-T1-C4-2400;-72.0871;-7.90189;550.589973
LIM-T1-C4-3600;-66.6825;-7.74181;495.5165683
LIM-T1-C5-2800;-72.0907;-7.9054;550.589973
LIM-T1-C5-4200;-66.6788;-7.74437;495.5165683
LIM-T1-C6-3380;-72.0947;-7.91257;630.67962
LIM-T1-C6-4900;-66.6746;-7.74931;718.0999874
LIM-T1-C7-3930;-72.0986;-7.91677;630.67962
LIM-T1-C7-5700;-66.6688;-7.75384;815.6911635
LIM-T1-C8-4550;-72.0999;-7.92615;619.2343589
LIM-T1-C9-5170;-72.1046;-7.92929;619.2343589
LIM-T2-C1-1000;-66.7029;-7.72936;582.3563701
LIM-T2-C2-1500;-66.7044;-7.7344;559.075382
LIM-T2-C3-2000;-66.7043;-7.73945;559.075382
LIM-T2-C4-2600;-66.7022;-7.74471;594.3508727
LIM-T2-C5-3300;-66.7001;-7.74969;594.3508727
LIM-T2-C6-4100;-66.6944;-7.75621;815.6321751
LIM-T2-C7-5000;-66.6903;-7.76234;815.6321751
LIM-T2-C8-6000;-66.6866;-7.77045;981.1684652
MAL-T1-C1-600;-65.9021;-7.74654;513.4125242
MAL-T1-C2-1100;-65.8975;-7.74766;513.4125242
MAL-T1-C3-1900;-65.8917;-7.75293;868.5681376
MAL-T1-C4-3000;-65.8874;-7.7636;890.5896816
MAL-T1-C5-3800;-65.8848;-7.77125;890.5896816
MAL-T2-C1-3300;-65.935;-7.75726;849.4132765
MAL-T2-C2-3200;-65.9306;-7.76358;800.4139472
MAL-T2-C3-3700;-65.9293;-7.77069;800.4139472
MAL-T2-C4-4500;-65.9297;-7.77983;536.1037147
MAL-T2-C5-5000;-65.9327;-7.78362;536.1037147
MAL-T2-C6-5500;-65.9317;-7.78926;635.0534658
